lead_time,avg_price_per_room,no_of_special_requests,booking_status
36,67.5,0,Canceled
4,65,0,Not_Canceled
0,147.5,0,Not_Canceled
301,90,0,Not_Canceled
94,125.1,1,Not_Canceled
0,73.64,0,Not_Canceled
117,145.8,1,Canceled
37,88,0,Canceled
203,96.3,0,Canceled
38,81,0,Canceled
0,98.33,0,Not_Canceled
8,124,0,Canceled
5,89.3,1,Not_Canceled
22,75,0,Not_Canceled
14,114,1,Not_Canceled
138,130.5,1,Not_Canceled
13,170,0,Not_Canceled
36,71,0,Not_Canceled
359,39,1,Not_Canceled
225,106.25,0,Canceled
77,109.8,0,Not_Canceled
88,117,1,Not_Canceled
27,120.9,0,Canceled
47,114.33,1,Not_Canceled
1,81,2,Not_Canceled
39,109,0,Not_Canceled
176,143.1,0,Canceled
305,89,0,Canceled
233,100.3,0,Canceled
152,62,1,Not_Canceled
205,90.95,1,Canceled
113,100,0,Canceled
57,91,0,Not_Canceled
12,121,1,Canceled
6,97.02,1,Not_Canceled
11,143.2,0,Not_Canceled
66,120.6,0,Not_Canceled
164,100,0,Not_Canceled
71,105.83,1,Not_Canceled
10,128.86,0,Canceled
111,150.45,2,Canceled
101,85.28,2,Not_Canceled
14,79,1,Canceled
101,80,0,Canceled
87,85,0,Not_Canceled
173,114.75,1,Canceled
126,55,0,Not_Canceled
42,180.16,1,Not_Canceled
275,110,0,Canceled
0,89,0,Not_Canceled
10,79,0,Canceled
18,79,1,Canceled
60,65,0,Not_Canceled
349,80,0,Canceled
42,74.8,1,Not_Canceled
273,109,0,Canceled
4,110.11,1,Not_Canceled
7,174,0,Not_Canceled
50,109.8,0,Not_Canceled
51,139.5,1,Not_Canceled
2,179,2,Not_Canceled
6,95,0,Not_Canceled
4,106.14,1,Not_Canceled
443,65,0,Canceled
150,90,2,Not_Canceled
10,164,2,Not_Canceled
131,94.5,0,Canceled
8,133,0,Not_Canceled
11,75,0,Canceled
48,75,0,Not_Canceled
0,84.7,1,Canceled
61,97,1,Not_Canceled
88,96.9,2,Not_Canceled
0,110,0,Not_Canceled
0,59.04,0,Not_Canceled
122,97.54,0,Canceled
71,120.15,2,Not_Canceled
71,146.7,2,Not_Canceled
58,153.85,1,Not_Canceled
25,111.4,2,Not_Canceled
2,40,1,Not_Canceled
22,139,3,Not_Canceled
292,115,0,Canceled
221,80,0,Canceled
105,117.3,0,Canceled
129,146.7,3,Not_Canceled
68,89.93,1,Not_Canceled
1,80,1,Not_Canceled
110,95,0,Canceled
20,131.2,0,Canceled
2,104.72,1,Not_Canceled
99,62.37,0,Not_Canceled
122,76.5,2,Canceled
135,151.2,3,Not_Canceled
99,65,0,Canceled
26,118.07,1,Not_Canceled
43,130,1,Not_Canceled
84,118.8,3,Not_Canceled
63,136,0,Not_Canceled
1,78,1,Not_Canceled
25,168.38,1,Canceled
22,169,1,Not_Canceled
115,107.41,2,Not_Canceled
78,60,0,Not_Canceled
28,87,0,Not_Canceled
110,109.25,1,Not_Canceled
1,81.19,0,Not_Canceled
2,66,0,Not_Canceled
338,80,0,Canceled
21,140,1,Not_Canceled
146,95,0,Canceled
53,94.5,0,Not_Canceled
29,104,1,Not_Canceled
0,89,0,Not_Canceled
67,89.24,1,Not_Canceled
161,66.53,1,Not_Canceled
164,88.5,1,Not_Canceled
166,93.5,0,Canceled
292,90,0,Not_Canceled
164,100,0,Not_Canceled
109,113.26,1,Not_Canceled
3,81,1,Not_Canceled
164,100,0,Not_Canceled
30,94.5,1,Not_Canceled
68,132.3,2,Not_Canceled
14,102,1,Not_Canceled
125,72.25,0,Canceled
133,80.75,1,Not_Canceled
110,106.68,0,Canceled
47,77.35,1,Not_Canceled
2,127,0,Not_Canceled
23,91,1,Canceled
161,145.85,2,Canceled
32,58,1,Not_Canceled
31,106.4,1,Canceled
15,65,1,Not_Canceled
57,75.33,0,Not_Canceled
112,105.3,1,Not_Canceled
24,85,1,Not_Canceled
3,90.67,0,Not_Canceled
64,200.1,1,Not_Canceled
82,79.2,1,Not_Canceled
386,90,1,Not_Canceled
263,100.3,0,Canceled
184,80.75,1,Not_Canceled
13,85,0,Not_Canceled
27,65,0,Not_Canceled
47,131.4,0,Canceled
141,123.8,1,Not_Canceled
1,100.1,1,Not_Canceled
1,119,0,Not_Canceled
47,117.9,1,Not_Canceled
0,0,1,Not_Canceled
279,110,0,Canceled
11,143.2,0,Not_Canceled
2,94.99,0,Not_Canceled
25,72.25,0,Not_Canceled
187,99.45,1,Canceled
6,95,0,Not_Canceled
28,155.73,1,Canceled
0,95,0,Not_Canceled
5,184,1,Not_Canceled
3,90.6,0,Canceled
9,54.74,0,Not_Canceled
245,145.8,1,Not_Canceled
83,76.5,1,Not_Canceled
44,95,1,Not_Canceled
11,127.6,1,Not_Canceled
2,88,1,Not_Canceled
67,109.1,0,Not_Canceled
60,111.6,0,Not_Canceled
73,89.25,3,Not_Canceled
0,82.88,0,Not_Canceled
207,168.3,1,Canceled
9,120,1,Not_Canceled
5,107.67,2,Not_Canceled
221,74.44,0,Canceled
8,93,1,Not_Canceled
6,93,0,Not_Canceled
4,136,1,Not_Canceled
280,110,0,Canceled
6,88.92,0,Not_Canceled
1,96,1,Not_Canceled
55,207.9,0,Canceled
6,124,1,Not_Canceled
109,68,1,Canceled
36,100.8,0,Canceled
8,214.6,0,Canceled
32,89.3,1,Not_Canceled
3,266.67,5,Not_Canceled
23,160.5,2,Not_Canceled
84,100.33,0,Not_Canceled
175,105.3,0,Canceled
42,100.5,0,Not_Canceled
119,110,0,Not_Canceled
6,98,1,Not_Canceled
71,80.75,1,Not_Canceled
16,138,1,Not_Canceled
186,96.3,1,Canceled
6,139,0,Canceled
64,98.55,3,Not_Canceled
103,80,0,Not_Canceled
22,165,1,Not_Canceled
65,68,1,Not_Canceled
123,110.33,0,Canceled
24,53.58,0,Not_Canceled
70,137.7,0,Canceled
1,99.3,0,Not_Canceled
62,101.18,1,Not_Canceled
175,72.25,0,Not_Canceled
210,90.95,1,Not_Canceled
0,141,0,Not_Canceled
8,65,1,Not_Canceled
117,105.3,1,Not_Canceled
119,90.9,0,Not_Canceled
11,126,1,Not_Canceled
99,81,0,Not_Canceled
7,81,1,Not_Canceled
29,102.8,1,Not_Canceled
283,82.79,0,Canceled
2,86,1,Not_Canceled
29,85,0,Not_Canceled
305,89,0,Canceled
292,81.82,1,Not_Canceled
21,85,1,Not_Canceled
54,77.25,1,Not_Canceled
0,160,0,Not_Canceled
6,55,0,Not_Canceled
198,90,0,Canceled
22,65,0,Not_Canceled
222,86.63,0,Canceled
177,82.88,0,Canceled
42,131.4,1,Not_Canceled
115,76,0,Not_Canceled
102,101.5,0,Canceled
174,70,0,Canceled
250,95,0,Canceled
29,104.77,0,Not_Canceled
92,60,1,Not_Canceled
135,99.45,0,Canceled
5,95,0,Canceled
33,108.9,0,Not_Canceled
2,93,0,Not_Canceled
0,109,0,Not_Canceled
12,111.35,0,Canceled
166,99.45,0,Canceled
7,71.6,0,Not_Canceled
6,62.8,0,Not_Canceled
35,81.9,0,Canceled
52,149.4,2,Not_Canceled
78,119.85,2,Not_Canceled
277,84.15,0,Canceled
8,119,0,Not_Canceled
279,110,0,Canceled
53,97.87,4,Not_Canceled
22,139,1,Not_Canceled
9,95,0,Not_Canceled
118,110,0,Not_Canceled
240,85.5,1,Canceled
203,135.15,3,Not_Canceled
14,0,0,Not_Canceled
96,116.1,1,Not_Canceled
205,95.5,1,Canceled
34,224.67,0,Canceled
17,103.5,1,Canceled
286,90,0,Canceled
6,94,0,Not_Canceled
359,70,0,Not_Canceled
32,73,0,Not_Canceled
76,94.5,1,Not_Canceled
102,108,1,Not_Canceled
188,61.88,0,Not_Canceled
17,48,0,Not_Canceled
14,105,0,Not_Canceled
113,92.94,1,Not_Canceled
8,173.8,0,Not_Canceled
174,70,0,Canceled
40,100.02,0,Canceled
269,67.77,1,Not_Canceled
142,101.15,0,Not_Canceled
71,126.5,0,Not_Canceled
49,84.45,2,Not_Canceled
207,98.1,0,Canceled
3,65,0,Not_Canceled
8,142.67,0,Canceled
1,0,0,Not_Canceled
19,58,0,Not_Canceled
108,158.4,1,Canceled
68,112.2,1,Not_Canceled
38,125.55,0,Canceled
290,89.5,1,Not_Canceled
22,213,0,Canceled
256,133.11,2,Canceled
0,65,0,Not_Canceled
180,100,1,Not_Canceled
67,75,0,Not_Canceled
7,88.27,0,Not_Canceled
12,125,2,Not_Canceled
6,66.3,0,Not_Canceled
418,75,0,Canceled
8,93.5,1,Not_Canceled
0,138,0,Not_Canceled
89,183.73,1,Not_Canceled
44,135.22,1,Canceled
0,65,1,Not_Canceled
39,109,0,Not_Canceled
124,126.9,2,Not_Canceled
1,120,2,Not_Canceled
88,120.8,2,Not_Canceled
106,95,1,Not_Canceled
10,6,0,Not_Canceled
14,151,1,Not_Canceled
122,76.5,1,Not_Canceled
193,65,0,Canceled
188,130,0,Canceled
62,67,0,Not_Canceled
1,60,0,Canceled
138,122.4,2,Not_Canceled
268,78,0,Not_Canceled
12,97,3,Not_Canceled
91,80,0,Canceled
26,180,2,Not_Canceled
213,130,0,Canceled
15,58.35,1,Not_Canceled
34,224.67,0,Canceled
4,88,1,Not_Canceled
120,89.25,1,Canceled
0,201,2,Not_Canceled
13,79,1,Not_Canceled
86,87.5,0,Not_Canceled
61,72.24,1,Not_Canceled
7,40,0,Not_Canceled
28,143.45,2,Not_Canceled
105,114.3,1,Not_Canceled
32,79.2,0,Canceled
196,122.4,0,Canceled
10,110,0,Not_Canceled
71,126,1,Not_Canceled
169,89.25,1,Not_Canceled
73,87.3,1,Not_Canceled
5,90,2,Not_Canceled
51,159.3,0,Canceled
45,125.1,1,Not_Canceled
319,63.75,0,Canceled
3,76.5,0,Not_Canceled
65,100,1,Not_Canceled
167,122.4,0,Canceled
135,162,2,Not_Canceled
133,90,2,Canceled
168,127,2,Canceled
29,85,0,Not_Canceled
2,120,0,Not_Canceled
32,73,0,Not_Canceled
195,106.25,2,Not_Canceled
256,115,1,Canceled
12,94.35,2,Not_Canceled
56,120,0,Not_Canceled
144,151.2,1,Canceled
178,88.5,0,Canceled
59,118.27,1,Not_Canceled
6,127.82,1,Canceled
115,141.3,0,Not_Canceled
96,0,1,Not_Canceled
3,151,1,Not_Canceled
292,158.4,1,Canceled
56,111.6,0,Not_Canceled
29,66.18,1,Not_Canceled
21,102.05,0,Canceled
116,104.85,2,Not_Canceled
148,80.75,1,Not_Canceled
25,65,0,Not_Canceled
40,98.1,2,Not_Canceled
12,140,0,Canceled
11,70.07,0,Not_Canceled
66,75,0,Canceled
69,92.23,1,Not_Canceled
111,120,0,Canceled
3,95,0,Not_Canceled
10,52.36,1,Not_Canceled
159,118.3,0,Canceled
38,75.8,0,Not_Canceled
25,165.5,2,Not_Canceled
377,115,1,Canceled
56,167.45,2,Not_Canceled
53,159.3,3,Not_Canceled
225,67.5,0,Canceled
99,89.3,1,Not_Canceled
37,135.9,2,Not_Canceled
8,130,0,Not_Canceled
103,115,0,Canceled
4,98.32,0,Not_Canceled
6,110,0,Not_Canceled
43,69.53,0,Canceled
193,65,0,Canceled
73,73.67,0,Canceled
92,58.9,1,Not_Canceled
13,85,1,Not_Canceled
16,108.67,0,Not_Canceled
161,59.5,0,Not_Canceled
41,72.37,0,Not_Canceled
0,50,1,Not_Canceled
29,94,1,Not_Canceled
279,110,0,Canceled
0,160,0,Not_Canceled
85,90.95,0,Canceled
113,90,0,Not_Canceled
3,131.78,0,Not_Canceled
118,110,0,Not_Canceled
25,114,2,Not_Canceled
0,65,0,Not_Canceled
74,145.1,0,Not_Canceled
275,90,0,Canceled
23,85.6,0,Canceled
11,125.4,1,Not_Canceled
14,72,1,Not_Canceled
2,80,1,Not_Canceled
85,90,0,Not_Canceled
114,75,0,Canceled
115,114.3,0,Canceled
2,138.67,1,Not_Canceled
240,95.63,1,Canceled
2,103,1,Not_Canceled
109,146.7,2,Not_Canceled
37,69.53,0,Not_Canceled
77,96.3,1,Not_Canceled
418,107,0,Canceled
320,115,1,Canceled
188,130,0,Canceled
327,88,0,Not_Canceled
10,52,1,Not_Canceled
12,158.5,3,Not_Canceled
317,120,0,Canceled
36,91,0,Not_Canceled
99,168.3,0,Canceled
79,75,0,Not_Canceled
33,117.33,2,Not_Canceled
443,65,0,Canceled
275,110,0,Canceled
10,120,3,Not_Canceled
15,0,4,Not_Canceled
143,99.79,0,Not_Canceled
18,85,0,Not_Canceled
161,116.1,0,Canceled
11,145,1,Not_Canceled
39,101.5,0,Not_Canceled
289,67,0,Not_Canceled
89,76.5,0,Canceled
188,105.3,0,Canceled
5,131,0,Not_Canceled
56,0,0,Not_Canceled
0,124,0,Not_Canceled
14,96,1,Not_Canceled
19,6,0,Not_Canceled
7,237,2,Not_Canceled
90,130.78,2,Canceled
250,90.95,0,Canceled
58,189,2,Not_Canceled
56,76.92,1,Not_Canceled
95,90,2,Canceled
17,143.43,1,Not_Canceled
182,120,1,Canceled
149,99.45,0,Canceled
56,140.4,0,Canceled
207,161.67,0,Not_Canceled
71,87.13,0,Canceled
99,65,0,Canceled
38,58,1,Not_Canceled
63,103.87,1,Not_Canceled
273,109,0,Canceled
35,71.1,1,Not_Canceled
71,132.6,0,Canceled
155,126.9,1,Canceled
2,98,1,Not_Canceled
92,87.3,0,Not_Canceled
0,91.2,0,Not_Canceled
11,154,0,Canceled
143,101.54,2,Canceled
3,106,1,Not_Canceled
2,85.03,1,Canceled
141,124.8,0,Canceled
29,143.03,3,Not_Canceled
124,127.8,1,Not_Canceled
4,36.25,0,Not_Canceled
167,60,1,Not_Canceled
12,177,1,Not_Canceled
114,75.27,0,Not_Canceled
162,112,0,Canceled
115,76,0,Not_Canceled
47,125.1,1,Not_Canceled
49,135.9,1,Not_Canceled
164,100,0,Not_Canceled
18,191,1,Not_Canceled
199,98.18,0,Canceled
46,198.9,0,Canceled
6,106,2,Not_Canceled
80,85.5,1,Not_Canceled
39,98.94,2,Not_Canceled
127,114.3,1,Not_Canceled
151,80,0,Not_Canceled
67,76.16,1,Not_Canceled
23,115.9,2,Not_Canceled
1,110.8,1,Not_Canceled
93,89.25,1,Not_Canceled
244,94.5,2,Canceled
147,128.76,0,Not_Canceled
40,128.1,0,Canceled
55,104,0,Not_Canceled
1,115.89,1,Not_Canceled
21,148,2,Not_Canceled
6,81,0,Not_Canceled
23,109,0,Not_Canceled
105,126.9,1,Not_Canceled
33,186,1,Canceled
118,110,0,Not_Canceled
37,113.4,0,Canceled
78,105.3,0,Canceled
93,150.56,1,Canceled
1,65,1,Not_Canceled
193,100,0,Canceled
155,96.12,1,Not_Canceled
80,120.9,2,Not_Canceled
3,107,0,Not_Canceled
29,85,0,Not_Canceled
55,104,0,Not_Canceled
4,88,0,Not_Canceled
21,95,0,Not_Canceled
0,50,1,Not_Canceled
35,119,1,Not_Canceled
76,72.25,0,Not_Canceled
433,70,0,Canceled
3,55.6,0,Not_Canceled
77,132.3,3,Not_Canceled
133,117.3,2,Not_Canceled
99,65,0,Canceled
14,95,0,Not_Canceled
51,158.4,1,Not_Canceled
4,112,1,Not_Canceled
11,90,2,Not_Canceled
71,75.95,0,Not_Canceled
256,96.3,3,Not_Canceled
64,109.65,1,Canceled
41,114.3,0,Not_Canceled
291,115,0,Canceled
88,132.3,1,Not_Canceled
46,158.4,0,Not_Canceled
0,89,0,Not_Canceled
1,67,0,Not_Canceled
44,117.15,1,Not_Canceled
301,109,0,Canceled
4,133.98,1,Not_Canceled
28,110.65,2,Not_Canceled
126,118.8,0,Canceled
43,140.4,1,Not_Canceled
154,75,0,Not_Canceled
103,146.7,0,Not_Canceled
280,198.9,2,Canceled
1,96,0,Not_Canceled
37,96.3,1,Not_Canceled
75,105,0,Canceled
151,80,0,Not_Canceled
1,78.41,0,Not_Canceled
257,101.5,0,Canceled
4,139,1,Not_Canceled
45,157.68,2,Not_Canceled
116,104.4,0,Not_Canceled
88,112.2,0,Not_Canceled
67,95.4,2,Not_Canceled
38,67.5,1,Canceled
162,103.5,0,Canceled
35,111.83,0,Canceled
31,168.3,0,Canceled
69,105.3,0,Canceled
71,77,2,Not_Canceled
0,143.5,0,Not_Canceled
320,90,0,Not_Canceled
0,79,1,Not_Canceled
253,80.75,2,Not_Canceled
304,89,0,Canceled
83,105.3,1,Not_Canceled
56,67.32,0,Canceled
6,65,0,Canceled
162,70,0,Not_Canceled
103,137.7,1,Not_Canceled
192,95,0,Not_Canceled
63,105.6,1,Not_Canceled
97,53.38,0,Not_Canceled
144,112,0,Not_Canceled
0,77,0,Not_Canceled
257,101.5,0,Canceled
102,87,0,Not_Canceled
131,108,0,Canceled
2,42,1,Not_Canceled
113,92.94,0,Not_Canceled
51,126.36,0,Canceled
167,77.03,0,Canceled
41,75,2,Not_Canceled
15,92,0,Not_Canceled
67,75,0,Not_Canceled
8,125,1,Not_Canceled
31,200,2,Not_Canceled
249,89.25,0,Canceled
18,140.9,1,Not_Canceled
77,109.93,1,Not_Canceled
29,67,0,Not_Canceled
56,60,1,Not_Canceled
25,185,0,Not_Canceled
56,156.6,0,Canceled
204,81.81,0,Canceled
89,108,3,Not_Canceled
265,100.3,0,Canceled
159,70.5,0,Not_Canceled
24,53.85,0,Not_Canceled
141,149.85,2,Not_Canceled
58,90.95,1,Not_Canceled
41,62,0,Not_Canceled
62,102.6,2,Not_Canceled
31,70,0,Not_Canceled
34,68.07,1,Not_Canceled
192,95,0,Not_Canceled
0,153,0,Not_Canceled
87,112.01,1,Not_Canceled
15,221,0,Canceled
160,70,0,Not_Canceled
82,72.25,0,Not_Canceled
0,114,0,Not_Canceled
53,135.9,0,Canceled
207,80.75,0,Not_Canceled
103,134.1,0,Canceled
118,183.3,0,Canceled
352,73.74,0,Canceled
114,75,1,Not_Canceled
44,95,0,Not_Canceled
85,114.4,1,Not_Canceled
0,65,0,Not_Canceled
9,99,3,Not_Canceled
1,91.2,0,Not_Canceled
68,105.3,1,Not_Canceled
235,73.95,1,Canceled
346,115,1,Canceled
51,152.1,1,Not_Canceled
164,99.45,0,Canceled
1,101,2,Not_Canceled
10,109,2,Not_Canceled
7,140,1,Not_Canceled
122,110.24,0,Not_Canceled
256,100.75,0,Canceled
74,79.2,2,Not_Canceled
82,103.7,1,Canceled
7,65,0,Not_Canceled
45,101.7,1,Canceled
72,175.5,2,Not_Canceled
17,107.09,2,Not_Canceled
13,147.9,0,Canceled
418,75,0,Canceled
38,118,2,Not_Canceled
125,90,2,Not_Canceled
28,67,0,Not_Canceled
12,164,0,Canceled
5,75.24,0,Not_Canceled
24,60.06,1,Not_Canceled
6,156.5,1,Not_Canceled
75,105,0,Canceled
3,80.8,0,Not_Canceled
66,108,1,Not_Canceled
48,51.09,0,Not_Canceled
241,81.76,1,Not_Canceled
62,149.4,0,Not_Canceled
45,112.8,1,Canceled
133,189,0,Canceled
56,97.2,0,Not_Canceled
54,208.41,1,Canceled
35,67.5,0,Canceled
157,90,1,Not_Canceled
85,57,0,Canceled
152,72.25,0,Not_Canceled
39,81.9,0,Not_Canceled
69,120,0,Canceled
30,65.06,1,Not_Canceled
67,112.9,3,Not_Canceled
36,102.6,2,Not_Canceled
121,90,0,Canceled
164,115,0,Canceled
18,101,2,Not_Canceled
6,149,1,Not_Canceled
103,115,0,Canceled
100,108,0,Canceled
71,120,0,Not_Canceled
105,75,0,Canceled
37,150.3,0,Canceled
39,109,0,Not_Canceled
44,101.52,0,Not_Canceled
291,115,0,Canceled
99,85.5,1,Canceled
33,103.05,1,Not_Canceled
165,180.2,0,Canceled
90,72.25,2,Not_Canceled
159,144,0,Canceled
47,55.24,0,Not_Canceled
138,90.95,0,Not_Canceled
61,207.64,1,Not_Canceled
16,104,0,Not_Canceled
13,80,1,Canceled
55,124.1,2,Not_Canceled
12,140,0,Canceled
13,78,0,Not_Canceled
0,65,0,Not_Canceled
70,80.33,0,Not_Canceled
11,124,0,Not_Canceled
29,130.68,1,Not_Canceled
304,89,0,Canceled
13,85,0,Not_Canceled
69,110.08,2,Not_Canceled
79,87.3,1,Not_Canceled
82,90.95,0,Not_Canceled
84,79.43,2,Not_Canceled
245,110,0,Canceled
258,90.1,0,Canceled
114,115.6,1,Not_Canceled
114,81.26,0,Not_Canceled
123,91.7,0,Not_Canceled
20,81.3,0,Not_Canceled
74,109,0,Not_Canceled
40,99.71,2,Not_Canceled
146,116.23,3,Not_Canceled
24,187,0,Canceled
245,110,0,Canceled
0,91,0,Not_Canceled
2,67,1,Not_Canceled
19,90,0,Not_Canceled
269,70,0,Not_Canceled
268,95.4,0,Canceled
25,221,0,Canceled
48,138.6,1,Not_Canceled
86,87.5,0,Not_Canceled
0,120,0,Not_Canceled
1,109.65,0,Not_Canceled
35,74.8,2,Canceled
13,85.32,0,Not_Canceled
140,80.75,0,Not_Canceled
6,91.44,1,Not_Canceled
49,158.4,1,Canceled
203,137.7,1,Canceled
13,140,2,Not_Canceled
52,94.5,0,Canceled
0,0,0,Not_Canceled
18,81,0,Not_Canceled
58,93.6,1,Not_Canceled
129,99.45,0,Not_Canceled
163,126.9,2,Canceled
66,88.4,3,Not_Canceled
13,73,0,Not_Canceled
56,120,0,Not_Canceled
5,149,1,Not_Canceled
256,112,1,Canceled
3,85,0,Not_Canceled
8,148,1,Not_Canceled
41,112,1,Not_Canceled
16,74.8,2,Canceled
7,67,1,Not_Canceled
157,72.25,1,Not_Canceled
27,115,1,Not_Canceled
71,119.85,1,Not_Canceled
16,140,2,Not_Canceled
18,66.25,0,Not_Canceled
5,106,0,Not_Canceled
17,92.67,0,Not_Canceled
159,130.14,2,Canceled
5,95,1,Not_Canceled
53,80.2,0,Not_Canceled
35,129,1,Not_Canceled
235,106.25,0,Canceled
6,107,2,Not_Canceled
14,100,0,Not_Canceled
102,87,0,Not_Canceled
38,133.8,0,Canceled
247,115,1,Canceled
192,95,0,Not_Canceled
96,110.97,0,Canceled
44,75,0,Not_Canceled
74,101.5,0,Not_Canceled
125,99.9,0,Not_Canceled
22,85,0,Not_Canceled
34,224.67,0,Canceled
275,90,0,Canceled
199,94.51,2,Not_Canceled
164,100,0,Not_Canceled
286,78.3,2,Not_Canceled
115,108,0,Canceled
31,152.81,1,Canceled
37,95,0,Not_Canceled
86,107.1,1,Not_Canceled
171,99.45,1,Not_Canceled
6,68,1,Not_Canceled
18,86,1,Not_Canceled
251,79.29,0,Canceled
37,105,0,Not_Canceled
0,103.2,0,Not_Canceled
286,90,0,Canceled
58,198,2,Not_Canceled
87,146.7,1,Not_Canceled
6,126,1,Not_Canceled
433,70,0,Canceled
19,95,1,Not_Canceled
133,74.8,2,Canceled
256,90,0,Not_Canceled
309,101,0,Canceled
102,101.5,0,Canceled
32,73,0,Not_Canceled
71,132.6,0,Not_Canceled
1,155,2,Not_Canceled
1,121,0,Not_Canceled
31,107.1,0,Canceled
231,69.58,0,Canceled
116,76,0,Not_Canceled
289,67,0,Not_Canceled
49,170.1,1,Not_Canceled
3,93,2,Not_Canceled
33,143.1,0,Canceled
188,130,0,Canceled
132,72.25,0,Not_Canceled
42,0,0,Not_Canceled
3,139,0,Canceled
49,159.3,2,Not_Canceled
16,109,2,Not_Canceled
175,99.45,1,Not_Canceled
124,94.5,0,Not_Canceled
181,76.5,0,Canceled
62,69.5,1,Not_Canceled
250,128.7,1,Canceled
63,159.3,0,Canceled
275,90,0,Canceled
0,127,0,Not_Canceled
7,99,1,Not_Canceled
72,126.64,0,Canceled
130,105.3,1,Canceled
185,113.4,2,Canceled
5,91,0,Not_Canceled
147,129.6,2,Not_Canceled
180,98.1,1,Canceled
86,122,0,Canceled
4,306,3,Not_Canceled
3,132.6,2,Not_Canceled
33,207.9,1,Not_Canceled
0,69.01,0,Not_Canceled
131,115.94,0,Canceled
6,70,0,Not_Canceled
48,85.5,1,Not_Canceled
1,0,0,Not_Canceled
2,101,1,Not_Canceled
259,90,0,Canceled
14,93.67,1,Not_Canceled
386,90,1,Canceled
164,100,0,Not_Canceled
192,95,0,Not_Canceled
155,142.83,0,Canceled
220,105.84,1,Canceled
151,71,1,Not_Canceled
125,89.75,0,Not_Canceled
39,130.9,2,Not_Canceled
163,72.25,1,Not_Canceled
6,138.57,2,Not_Canceled
19,57.59,1,Not_Canceled
131,94.5,0,Canceled
29,154.5,1,Canceled
81,125.1,2,Not_Canceled
162,85.17,2,Not_Canceled
158,114.3,0,Canceled
109,72.25,0,Not_Canceled
115,76,0,Not_Canceled
0,89,1,Not_Canceled
112,90,1,Not_Canceled
11,150,1,Canceled
1,107,0,Not_Canceled
74,87,0,Not_Canceled
12,66,1,Not_Canceled
80,72.25,0,Not_Canceled
122,75.9,2,Canceled
133,84.33,1,Not_Canceled
84,103.72,2,Not_Canceled
15,85.33,0,Not_Canceled
5,90,0,Not_Canceled
79,85.5,1,Canceled
122,85,0,Not_Canceled
118,186.3,1,Not_Canceled
43,114.3,2,Not_Canceled
103,80,0,Not_Canceled
222,116.1,0,Canceled
9,125.27,1,Not_Canceled
121,116.1,0,Not_Canceled
35,118.8,0,Not_Canceled
0,182.33,1,Canceled
18,104,0,Canceled
220,156,1,Canceled
6,49.59,0,Not_Canceled
62,88.4,3,Not_Canceled
131,105.3,0,Canceled
69,168.3,2,Not_Canceled
308,52,0,Canceled
168,105.3,0,Canceled
188,130,0,Canceled
39,74.88,1,Not_Canceled
37,105,0,Not_Canceled
11,88.5,0,Not_Canceled
2,72.75,0,Not_Canceled
73,126.9,0,Canceled
32,99,2,Not_Canceled
12,75.2,0,Not_Canceled
150,135,1,Not_Canceled
31,50.6,0,Not_Canceled
8,103,1,Not_Canceled
135,90,0,Canceled
277,82.17,2,Not_Canceled
90,89.25,0,Not_Canceled
32,67,0,Not_Canceled
53,60,0,Not_Canceled
70,100,0,Not_Canceled
12,109,0,Canceled
202,80.24,0,Not_Canceled
98,116.1,3,Not_Canceled
16,123.33,1,Not_Canceled
0,50,0,Not_Canceled
37,140.4,0,Canceled
10,71.1,0,Not_Canceled
180,113.4,0,Canceled
38,104.4,0,Not_Canceled
15,105,1,Not_Canceled
7,143,1,Not_Canceled
90,90.95,1,Not_Canceled
48,130,0,Not_Canceled
6,106.25,1,Not_Canceled
17,85,0,Not_Canceled
60,123.3,1,Canceled
23,65,0,Not_Canceled
0,90,1,Not_Canceled
145,85.5,1,Not_Canceled
54,75,0,Not_Canceled
13,151,1,Not_Canceled
193,120,0,Canceled
221,65,0,Not_Canceled
179,108.9,2,Canceled
5,90,0,Not_Canceled
190,67.09,0,Canceled
8,87.53,1,Not_Canceled
65,119.85,1,Not_Canceled
10,80.75,0,Not_Canceled
211,100,0,Canceled
4,69.5,0,Not_Canceled
148,127.8,0,Not_Canceled
104,87.67,2,Not_Canceled
114,75,0,Canceled
12,151,2,Not_Canceled
30,96.3,5,Not_Canceled
2,75,0,Not_Canceled
273,87,0,Not_Canceled
47,97.82,1,Not_Canceled
2,55,0,Not_Canceled
172,85.5,0,Canceled
20,107,0,Not_Canceled
33,77.5,2,Not_Canceled
299,100.3,0,Canceled
11,151,0,Canceled
30,65,0,Not_Canceled
2,169.33,0,Not_Canceled
47,72.5,0,Not_Canceled
104,75,0,Not_Canceled
71,120,0,Not_Canceled
12,129.8,0,Not_Canceled
73,119.85,1,Not_Canceled
50,82.45,0,Canceled
20,110,1,Not_Canceled
47,75,0,Not_Canceled
12,202.88,1,Canceled
87,69.53,2,Not_Canceled
245,110,0,Canceled
0,85,0,Not_Canceled
15,76.5,0,Not_Canceled
2,169,0,Canceled
11,65.29,1,Not_Canceled
166,110,0,Canceled
92,89.25,1,Canceled
57,79.2,1,Not_Canceled
95,109.65,0,Canceled
0,0,0,Not_Canceled
85,85,1,Not_Canceled
89,90.95,1,Not_Canceled
138,94.5,0,Not_Canceled
4,91,0,Not_Canceled
